,REP,Nitro,Weed,HYB,Code,FDT,FDS,RTA,RLA,SDI,PHT,EHT,SDL,SDS,GWT,MST,TWT,YIELD,PROT,OIL,STR
242,1,N2,WMINUS,PHHB9*PHW30,UIUC3,1.896666667,1.719166667,79.37333333,0.634166667,107.0833333,250,94,24.896,21.942,6.45915008,20,54.3,124.1404862,9.9,3.8,70.8
243,1,N2,WMINUS,17.461,ORG1,1.91,1.729166667,72.28416667,0.071666667,95.08333333,222,107,20.052,18.432,6.19606672,17.5,51.2,130.241078,8.6,5,69.5
245,1,N2,WMINUS,PHP38*Q381,UIUC6,1.87,1.7275,95.515,0.925833333,112.5833333,197,77,21.01,19.2,2.8803092,18.1,56,54.95192308,9.1,3.9,71.1
246,1,N2,WMINUS,PHHB9*Q381,UIUC5,1.926666667,1.746666667,75.02416667,-1.3625,96.66666667,205,77,21.702,20.198,6.25503368,18.5,53.3,124.769364,8.6,3.6,71.9
247,1,N2,WMINUS,PHW52*Q381,UIUC8,1.873333333,1.686666667,76.79,0.290833333,97.41666667,186,71,19.876,18.152,3.29761384,17,54.4,65.63370171,9.2,3.9,71
248,1,N2,WMINUS,PHHB9*PHR63,UIUC2,1.886666667,1.684166667,85.48166667,-0.1375,112.8333333,205,85,20.796,18.616,7.36179816,20.8,58.5,130.0172963,7.6,3.8,72.2
249,1,N2,WMINUS,PHHB9*PHM49,UIUC1,1.903333333,1.741666667,85.375,-1.6975,111.25,215,84,22.032,19.996,6.38203944,21,57.2,114.9842761,7.4,3.6,72.7
250,1,N2,WMINUS,461.2B24,ORG2,1.9,1.74,91.56416667,-0.525833333,110.8333333,213,80,20.222,18.49,4.9668324,20.2,53.1,97.3723799,9.8,4.9,68.8
251,1,N2,WPLUS,PHHB9*PHZ51,UIUC4,1.923333333,1.7025,74.60583333,-0.745,76.66666667,258,125,14.654,13.988,5.37052928,17.4,56,103.3372781,8.9,3.5,71.6
252,1,N2,WPLUS,PHHB9*PHW30,UIUC3,1.836666667,1.68,91.905,2.679166667,122.8333333,251,95,23.82,20.966,7.02160416,18.7,56.5,131.8033199,8.4,3.7,71.5
253,1,N2,WPLUS,17.461,ORG1,1.913333333,1.718333333,73.16333333,-0.966666667,112.75,220,101,22.604,19.986,6.15524344,19.1,50.5,128.6323745,9,4.9,69.5
254,1,N2,WPLUS,PHW52*LH185,UIUC7,1.866666667,1.684166667,89.31,1.785,98.75,211,83,19.078,17.452,5.4884632,21.3,53.2,105.9160475,7.1,3.6,72.8
255,1,N2,WPLUS,PHP38*Q381,UIUC6,1.916666667,1.705,85.435,-0.6825,88.33333333,207,87,21.154,18.736,5.66082816,17.1,55.5,110.3035343,8.8,3.8,71.3
256,1,N2,WPLUS,PHHB9*Q381,UIUC5,1.923333333,1.765833333,88.28333333,-2.398333333,122.8333333,215,82,20.582,19.316,3.30668568,17.5,54.8,64.94028852,8.4,3.9,71.5
257,1,N2,WPLUS,PHW52*Q381,UIUC8,1.913333333,1.715833333,75.24333333,-0.716666667,88.16666667,197,76,20.332,18.124,3.10256928,16.3,52.6,64.4034468,8.9,4.1,71
258,1,N2,WPLUS,PHHB9*PHR63,UIUC2,1.925,1.74625,97.4575,0.48375,92,215,77,19.914,17.7,5.73340288,21.4,58.7,100.1485842,7.3,3.7,72.7
259,1,N2,WPLUS,PHHB9*PHM49,UIUC1,1.91,1.723333333,78.04666667,0.288333333,107.5833333,219,85,22.144,20.416,6.010094,21.1,57.3,107.9571858,7.9,3.7,72.5
260,1,N2,WPLUS,461.2B24,ORG2,1.88,1.741666667,66.60333333,1.313333333,101.5833333,222,94,21.638,17.662,4.36355504,19.3,54.6,84.13355875,9.8,5.1,68.5
261,1,N1,WPLUS,461.2B24,ORG2,1.92,1.724166667,63.0975,-2.6675,80.58333333,235,97,22.644,19.902,3.30668568,19.2,54.5,63.95222843,8.6,5,69.5
262,1,N1,WPLUS,PHHB9*PHZ51,UIUC4,1.856666667,1.7225,70.89916667,2.4525,100.1666667,252,85,24.1,22.052,8.04218616,18.1,57.4,149.6904315,8.7,3.8,71.6
263,1,N1,WPLUS,17.461,ORG1,1.923333333,1.7675,70.11,-0.903333333,96.41666667,215,89,20.788,19.024,5.6699,17,51.6,118.9739003,8.6,5,69.5
264,1,N1,WPLUS,PHW52*LH185,UIUC7,1.886666667,1.708333333,87.95083333,0.639166667,91.16666667,215,88,19.116,16.826,4.02789696,21.6,50,82.3895858,7.2,3.8,72.5
265,1,N1,WPLUS,PHP38*Q381,UIUC6,1.883333333,1.715,85.5,-0.053333333,118.3333333,199,82,21.498,18.966,6.28678512,18.4,55.8,119.9312846,8,4,71.6
266,1,N1,WPLUS,PHHB9*PHR63,UIUC2,1.906666667,1.749166667,66.48944444,-0.336666667,89.16666667,218,87,20.436,18.518,7.38447776,22.1,54.6,137.4397989,7.2,3.6,72.9
268,1,N1,WPLUS,PHHB9*PHM49,UIUC1,1.893333333,1.756666667,87.43583333,-1.473333333,107.4166667,200,82,20.77,19.65,5.50207096,20.9,55.2,102.8517065,6.9,3.3,73.4
269,1,N1,WPLUS,PHHB9*PHW30,UIUC3,1.885,1.715,89.76125,0.17875,111,230,88,22.218,19.358,6.22781816,17,57.7,116.8654436,7.3,3.4,72.9
270,1,N1,WPLUS,PHW52*Q381,UIUC8,1.893333333,1.715833333,74.82,-0.2975,101.0833333,200,77,20.71,18.458,2.20899304,15.6,56.1,43.35326815,7.7,3.9,71.9
271,1,N1,WMINUS,461.2B24,ORG2,1.913333333,1.7025,71.55166667,-1.483333333,79.41666667,225,103,24.662,20.348,2.82587816,19.3,54.5,54.58563596,10.9,4.2,68.8
272,1,N1,WMINUS,PHHB9*PHZ51,UIUC4,1.88,1.708333333,88.33833333,1.539166667,138.4166667,258,90,23.214,21.094,6.8492392,17.4,55.7,132.499761,9.2,3.7,71.3
273,1,N1,WMINUS,17.461,ORG1,1.923333333,1.745,83.81916667,-0.424166667,90.25,220,100,21.238,19.706,6.38657536,16.9,52.8,131.1242604,8.5,5,69.7
274,1,N1,WMINUS,PHW52*LH185,UIUC7,1.893333333,1.716666667,75.09083333,-0.220833333,102,215,70,19.326,17.518,5.00311976,23.1,50,100.3795266,8.1,3.9,71.9
275,1,N1,WMINUS,PHP38*Q381,UIUC6,1.88,1.710833333,86.74166667,-0.800833333,113.9166667,195,70,21.412,19.552,5.94659112,18.1,56.8,111.8540087,8.3,3.9,71.6
276,1,N1,WMINUS,PHHB9*PHR63,UIUC2,1.906666667,1.73,77.64333333,-0.819166667,127.3333333,215,85,22.562,20.454,6.72676936,21.6,51.7,133.0699415,7.3,3.6,72.9
277,1,N1,WMINUS,PHHB9*Q381,UIUC5,1.886666667,1.706666667,82.33333333,-0.12,109.5,195,85,21.408,19.342,5.04847896,17.1,54.9,99.44676173,7.9,3.9,72
