"","Code","EFFECTS","EHT","FDS","FDT","PHT","RTA","GWT","MST","TWT","YIELD","PROT","SDL","STR","SDS","OIL","RLA"
"20","ORG4","N1WPLUS",115.1775489,1.946530816,1.920866471,218.396575,77.59184035,6.825930451,32.34738416,48.32481529,107.4818283,8.57348148,21.68766939,72.4014703,19.62054059,3.842303052,53.50138932
"21","ORG4","N2WMINUS",119.0133234,1.944052823,1.911173248,227.6827161,99.89646867,8.303121136,29.72311837,50.50339189,136.8973932,8.457474981,22.18699024,72.40895757,20.17968373,5.731543013,56.49947143
"22","ORG4","N2WPLUS",116.3057179,1.956442788,1.92474376,222.6824862,93.74911147,7.198001006,30.16458364,49.3130356,117.1824281,8.051452236,22.24613844,72.41171603,20.10328917,3.701114301,49.25495013
"23","ORG4","N3WMINUS",121.0440275,1.936618843,1.90341867,234.5877953,87.73705286,8.973654792,30.50794552,50.50339189,146.8178137,8.148124318,22.80735857,72.411519,20.86073308,3.687667753,51.97192329
"24","ORG4","N3WPLUS",124.2029005,1.939096836,1.907295959,229.3494593,90.63724375,7.746527786,31.26824683,49.87452442,124.5655646,7.780770406,21.87336723,72.41427747,19.64817267,3.680944479,53.38070149
"25","UIUC1","N1WMINUS",104.572760816667,1.79946881266667,1.897279629,227.5239786,84.38850352,7.807560789,24.9940953933333,56.72954628,134.925540033333,8.09705543866667,23.5811454033333,72.4090268066667,20.43996703,3.71107464966667,17.8900724026667
"26","UIUC1","N1WPLUS",101.940366616667,1.80604237733333,1.89997219066667,225.4603917,79.5008114033333,6.98524521433333,24.55633962,57.0990138066667,120.171379,8.012783403,22.1280254466667,72.4098113766667,20.3233705166667,3.685426662,18.8637632576667
"27","UIUC1","N2WMINUS",105.099239653333,1.808141788,1.88597086933333,231.651152433333,83.0174838033333,7.83357952366667,23.6080068133333,57.7877734166667,136.076605866667,8.438140565,23.2198828733333,72.4058050366667,21.3673752766667,3.71456084866667,18.20035217
"28","UIUC1","N2WPLUS",103.670225653333,1.79647457133333,1.89566409233333,229.8256717,81.9457031133333,7.732949084,24.21214438,58.33129859,132.102996233333,8.41439563733333,22.2548501933333,72.4054795566667,20.3727831633333,3.73621125933333,18.1692592713333
"29","UIUC1","N3WMINUS",108.784591553333,1.79881489766667,1.89760273666667,238.794337866667,82.59867645,9.16792469366667,25.4883218633333,57.6754756566667,155.2159257,8.47036459233333,23.15216048,72.40350631,21.37479801,3.770588131,19.6142881826667
"30","UIUC1","N3WPLUS",106.829098723333,1.79437516,1.88381681966667,240.1436062,89.7946583966667,9.074486921,25.5046724333333,56.9642564933333,153.698909933333,8.534812647,22.92116154,72.4030465666667,21.1433387566667,3.76610594866667,16.4592996603333
"31","UIUC2","N1WMINUS",100.306985396667,1.81324631966667,1.90802802666667,223.0463014,78.7245463766667,7.85620039666667,23.28791905,57.5441482133333,138.190808966667,7.87099768266667,22.7860626733333,72.4086291766667,20.6107817533333,3.74593612666667,19.5992857426667
"32","UIUC2","N1WPLUS",101.03783148,1.810654198,1.89501787733333,229.905040433333,81.1585829166667,7.621159839,23.7142854866667,57.36852844,132.8742751,7.98700418133333,22.7209746866667,72.4073813,20.5905889233333,3.74369503566667,18.7809445606667
"33","UIUC2","N2WMINUS",103.444591893333,1.80170588933333,1.88489384466667,227.2858724,81.4896159133333,8.01440514133333,23.4853775666667,57.0540947033333,139.709139933333,8.560591869,23.2215793733333,72.4000253933333,21.0086459433333,3.81092777433333,18.9040416603333
"34","UIUC2","N2WPLUS",96.6755781966667,1.811445779,1.894802472,224.9841793,87.38613728,8.073084813,23.7285841466667,57.68926412,139.2815382,8.32672605,23.1295099266667,72.4026548966667,21.12350868,3.821211193,19.538223235
"35","UIUC2","N3WMINUS",109.16064792,1.80569821133333,1.901480026,237.683175666667,85.8559356066667,8.87954480533333,24.3764834,57.78777342,153.6630728,8.55414706333333,23.5502416133333,72.4025211466667,21.40513911,3.76834703966667,17.8878244253333
"36","UIUC2","N3WPLUS",108.40853524,1.81767517833333,1.89824895166667,239.111812766667,82.2678253166667,8.913827729,23.9350181233333,57.98242287,154.580251266667,8.40591653733333,23.39242138,72.4048198666667,21.25603427,3.74145394466667,16.0289597633333
"37","UIUC3","N1WMINUS",107.1299438,1.800948725,1.88941734833333,253.318814933333,84.35028409,7.931347761,19.9499740533333,58.6796028733333,143.707848066667,8.25966972466667,22.9374846066667,72.4066599433333,20.79961743,3.74244992766667,17.697164996
"38","UIUC3","N1WPLUS",109.687126716667,1.80659304266667,1.88866343133333,250.064697133333,89.84415271,7.47965875166667,20.5013993366667,58.4840195466667,133.926487333333,8.28346523333333,22.6973154066667,72.4054109666667,20.5283896666667,3.732489579,17.096315042
"39","UIUC3","N2WMINUS",113.146844856667,1.78917825833333,1.86949239066667,260.5413691,86.92792846,8.28026585366667,20.0681093433333,58.7535341766667,149.761212033333,8.66370875633333,23.4258928433333,72.4001567433333,21.36168632,3.79075795266667,18.9847356813333
"40","UIUC3","N2WPLUS",111.95176275,1.789207604,1.880960779,258.415113133333,87.8366198666667,8.510854752,21.1484536133333,58.4599629633333,151.7750785,8.43814056466667,23.0137010166667,72.4031122466667,20.8485245233333,3.75265940066667,18.6747674026667
"41","UIUC3","N3WMINUS",115.403182733333,1.79936556266667,1.875954539,264.589174166667,91.7949196433333,9.569849583,20.7995871533333,57.5605997466667,175.437107533333,8.87638733766667,23.04716096,72.3979237066667,21.0263087966667,3.799722318,18.3602752413333
"42","UIUC3","N3WPLUS",117.939744766667,1.79866940166667,1.88969959333333,265.1614789,86.2727895533333,8.78363498433333,20.70148376,58.00152939,158.738849366667,8.837718505,22.7372363266667,72.3993029366667,20.6361644066667,3.77507031366667,15.9264734046667
